id:ID,:LABEL,metric,value
E54_量度_Artifact_玉器_146_量度信息,E54_量度,量度信息,"{'height': 2.65, 'diameter': 3.53, 'hole_diameter': 0.5} | "
E54_量度_Artifact_玉器_147_量度信息,E54_量度,量度信息,"{'height': 2.75, 'diameter': 4.5, 'hole_diameter': 1.6} | "
E54_量度_Artifact_玉器_148_量度信息,E54_量度,量度信息,"{'diameter': 13.1, 'thickness': 0.9, 'edge_thickness': 0.75, 'hole_diameter': 4.1} | "
E54_量度_Artifact_玉器_149_量度信息,E54_量度,量度信息,"{'diameter': 16.0, 'thickness': 1.0, 'edge_thickness': 0.8, 'hole_diameter': 5.8} | "
E54_量度_Artifact_玉器_150_量度信息,E54_量度,量度信息,"{'diameter': 11.0, 'thickness': 1.9, 'hole_diameter': 5.35} | "
E54_量度_Artifact_玉器_151_量度信息,E54_量度,量度信息,"{'length': None, 'width': None, 'thickness': None, 'height': 3.1, 'diameter': 7.8, 'hole_diameter': 6.2, 'weight': None} |  | {'diameter': 7.7, 'hole_diameter': 6.2, 'height': 3}"
E54_量度_Artifact_玉器_152_量度信息,E54_量度,量度信息,"{'length': None, 'width': None, 'thickness': None, 'height': 3.25, 'diameter': 8.1, 'hole_diameter': 6.1, 'weight': None} | "
E54_量度_Artifact_玉器_153_量度信息,E54_量度,量度信息,"{'length': None, 'width': None, 'thickness': None, 'height': 2.7, 'diameter': 8.1, 'hole_diameter': 5.7, 'weight': None} | "
E54_量度_Artifact_玉器_154_量度信息,E54_量度,量度信息,"{'length': None, 'width': None, 'thickness': None, 'height': 3.6, 'diameter': 7.75, 'hole_diameter': 6.2, 'weight': None} | "
E54_量度_Artifact_玉器_155_量度信息,E54_量度,量度信息,"{'length': None, 'width': None, 'thickness': None, 'height': 4.46, 'diameter': None, 'hole_diameter': 0.7, 'weight': None} | "
E54_量度_Artifact_玉器_156_量度信息,E54_量度,量度信息,"{'length': 4.83, 'width': None, 'thickness': 0.7, 'height': None, 'diameter': None, 'hole_diameter': None, 'weight': None} |  | 长4.9厘米"
E54_量度_Artifact_玉器_157_量度信息,E54_量度,量度信息,"{'length': None, 'width': None, 'thickness': None, 'height': 3.4, 'diameter': 2.5, 'hole_diameter': 0.9, 'weight': None} | {'height': 3.4, 'diameter': [2.5, 2.65], 'hole_diameter': 0.9, 'hole_depth': '不明'} | "
E54_量度_Artifact_玉器_158_量度信息,E54_量度,量度信息,"{'length': None, 'width': None, 'thickness': None, 'height': 1.76, 'diameter': 1.92, 'hole_diameter': 0.8, 'weight': None} | {'height': 1.76, 'diameter': 1.92, 'hole_diameter': [0.8, 0.9], 'hole_depth': 1.3} |  | {'height': 1.9}"
E54_量度_Artifact_玉器_159_量度信息,E54_量度,量度信息,"{'height': 1.4, 'diameter': [3.38, 3.4, 3.47, 3.55], 'hole_diameter': [0.5, 0.6], 'hole_inner_diameter': 0.4} | "
E54_量度_Artifact_玉器_160_量度信息,E54_量度,量度信息,"{'length': 10.44, 'diameter': 1.55, 'hole_diameter': 0.5} | "
E54_量度_Artifact_玉器_162_量度信息,E54_量度,量度信息,"{'length': '3.94 cm', 'diameter': '1.3 cm'} | "
E54_量度_Artifact_玉器_163_量度信息,E54_量度,量度信息,{} | 
E54_量度_Artifact_玉器_164_量度信息,E54_量度,量度信息,"{""height"": 5.26, ""width_upper"": 9.14, ""width_lower"": 7.43, ""thickness"": 0.69}"
