id,name,category,height,
obj_46abadf2,伸M2：2,Pottery,,E22_Man_Made_Object
obj_cba4085b,伸M2：3,Pottery,,E22_Man_Made_Object
obj_437e4ed0,伸M3：1,Pottery,9.6,E22_Man_Made_Object
obj_d5ddb5e4,伸M3：2,Pottery,9.4,E22_Man_Made_Object
obj_fcfa573c,伸M4：1,Pottery,,E22_Man_Made_Object
obj_80703aed,伸M4：2,Pottery,,E22_Man_Made_Object
obj_3adc5058,伸M4：3,Pottery,,E22_Man_Made_Object
obj_1d118a2e,仲M4:11,Pottery,,E22_Man_Made_Object
obj_98e00be9,仲M4:12,Pottery,13.6,E22_Man_Made_Object
obj_d72f8f33,仲M4:13,Pottery,,E22_Man_Made_Object
obj_88c2493d,仲T4②：3,Pottery,15.8,E22_Man_Made_Object
obj_f26fe4fb,仲T4②：8,Pottery,12.0,E22_Man_Made_Object
obj_edaa21a4,仲T4②：2,Pottery,6.4,E22_Man_Made_Object
obj_29c46eb7,伸T3④：4,Pottery,4.4,E22_Man_Made_Object
obj_aade0579,伸T1④：11,Pottery,5.7,E22_Man_Made_Object
obj_d9627c20,伸T2④：3,Pottery,4.0,E22_Man_Made_Object
obj_3176371b,伸T1⑤：16,Pottery,7.5,E22_Man_Made_Object
obj_55e81853,伸T3④：5,Pottery,4.0,E22_Man_Made_Object
obj_2e297e15,伸T1⑤：8,Pottery,7.3,E22_Man_Made_Object
obj_9ad77932,伸T1④：12,Pottery,8.6,E22_Man_Made_Object
obj_8b0fa202,伸T3③：1,Pottery,10.0,E22_Man_Made_Object
obj_00c62313,伸T1⑤：18,Pottery,5.4,E22_Man_Made_Object
obj_d066517a,伸T1⑤：19,Pottery,6.7,E22_Man_Made_Object
obj_f6c457e7,伸T1⑤：17,Pottery,5.3,E22_Man_Made_Object
obj_e1b058d9,伸T4②：9,Pottery,11.7,E22_Man_Made_Object
obj_0d411832,伸T1②：1,Pottery,12.8,E22_Man_Made_Object
obj_e95b8350,伸T2②：1,Pottery,7.2,E22_Man_Made_Object
obj_5484f8c5,伸T2②：2,Pottery,6.1,E22_Man_Made_Object
obj_a26fc375,伸T1②：2,Pottery,7.8,E22_Man_Made_Object
obj_e2982095,伸T1④：14,Pottery,6.7,E22_Man_Made_Object
obj_9147ba3a,伸T1④：15,Pottery,6.0,E22_Man_Made_Object
obj_d4be7fe8,伸T1⑤：20,Pottery,,E22_Man_Made_Object
obj_60db94b4,伸T4②：12,Pottery,6.0,E22_Man_Made_Object
obj_904f5809,伸T1④：10,Pottery,9.5,E22_Man_Made_Object
obj_e4dc72c3,伸T4②：10,Pottery,9.3,E22_Man_Made_Object
obj_ff8bf162,伸T4②：11,Pottery,8.2,E22_Man_Made_Object
obj_1c5d196a,伸T1⑤：21,Pottery,2.5,E22_Man_Made_Object
obj_c1dfee6f,仲T3③：3,Pottery,2.0,E22_Man_Made_Object
obj_303a23cd,仲T4②：10,Pottery,9.3,E22_Man_Made_Object
